,region,Country,TotalConfirmed
0,Asia,Afghanistan,1531
1,Europe,Albania,726
2,Africa,Algeria,3382
3,Oceania,American Samoa,0
4,Europe,Andorra,738
5,Africa,Angola,26
6,Americas,Anguilla,0
7,,Antarctica,0
8,Americas,Antigua and Barbuda,24
9,Americas,Argentina,3892
10,Asia,Armenia,1746
11,Americas,Aruba,0
12,Oceania,Australia,6714
13,Europe,Austria,15225
14,Asia,Azerbaijan,1645
15,Americas,Bahamas,80
16,Asia,Bahrain,2647
17,Asia,Bangladesh,5416
18,Americas,Barbados,79
19,Europe,Belarus,10463
20,Europe,Belgium,46134
21,Americas,Belize,18
22,Africa,Benin,64
23,Americas,Bermuda,0
24,Asia,Bhutan,7
25,Americas,Bolivia,950
26,Europe,Bosnia and Herzegovina,1516
27,Africa,Botswana,22
28,,Bouvet Island,0
29,Americas,Brazil,63100
30,Africa,British Indian Ocean Territory,0
31,Americas,British Virgin Islands,0
32,Europe,Bulgaria,1300
33,Africa,Burkina Faso,632
34,Africa,Burundi,11
35,Asia,Cambodia,122
36,Africa,Cameroon,1621
37,Americas,Canada,47145
38,Africa,Cape Verde,106
39,Americas,Cayman Islands,0
40,Africa,Central African Republic,19
41,Africa,Chad,46
42,Americas,Chile,13331
43,Asia,China,83912
44,Oceania,Christmas Island,0
45,Oceania,Cocos (Keeling) Islands,0
46,Americas,Colombia,5379
47,Africa,Comoros,0
48,Oceania,Cook Islands,0
49,Americas,Costa Rica,695
50,Africa,Côte d'Ivoire,1150
51,Europe,Croatia,2030
52,Americas,Cuba,1369
53,Asia,Cyprus,817
54,Europe,Czech Republic,7404
55,Europe,Denmark,8773
56,Africa,Djibouti,1023
57,Americas,Dominica,16
58,Americas,Dominican Republic,6135
59,Americas,Ecuador,22719
60,Africa,Egypt,4534
61,Americas,El Salvador,298
62,Africa,Equatorial Guinea,258
63,Africa,Eritrea,39
64,Europe,Estonia,1643
65,Africa,Ethiopia,123
66,Europe,Faroe Islands,0
67,Oceania,Fiji,18
68,Europe,Finland,4576
69,Europe,France,162220
70,Americas,French Guiana,0
71,Oceania,French Polynesia,0
72,Africa,Gabon,176
73,Africa,Gambia,10
74,Asia,Georgia,486
75,Europe,Germany,157770
76,Africa,Ghana,1550
77,Europe,Gibraltar,0
78,Europe,Greece,2517
79,Americas,Greenland,0
80,Americas,Grenada,18
81,Americas,Guadeloupe,0
82,Oceania,Guam,0
83,Americas,Guatemala,500
84,Europe,Guernsey,0
85,Africa,Guinea,996
86,Africa,Guinea-Bissau,53
87,Americas,Guyana,74
88,Americas,Haiti,74
89,Americas,Honduras,627
90,Europe,Hungary,2500
91,Europe,Iceland,1792
92,Asia,India,27890
93,Asia,Indonesia,8882
94,Asia,Iraq,1820
95,Europe,Ireland,19262
96,Europe,Isle of Man,0
97,Asia,Israel,15443
98,Europe,Italy,197675
99,Americas,Jamaica,350
100,Asia,Japan,13441
101,Europe,Jersey,0
102,Asia,Jordan,447
103,Asia,Kazakhstan,2717
104,Africa,Kenya,355
105,Oceania,Kiribati,0
106,Asia,Kuwait,3075
107,Asia,Kyrgyzstan,682
108,Europe,Latvia,812
109,Asia,Lebanon,707
110,Africa,Lesotho,0
111,Africa,Liberia,124
112,Africa,Libya,61
113,Europe,Liechtenstein,82
114,Europe,Lithuania,1438
115,Europe,Luxembourg,3723
116,Africa,Madagascar,124
117,Africa,Malawi,34
118,Asia,Malaysia,5780
119,Asia,Maldives,214
120,Africa,Mali,389
121,Europe,Malta,448
122,Oceania,Marshall Islands,0
123,Americas,Martinique,0
124,Africa,Mauritania,7
125,Africa,Mauritius,332
126,Africa,Mayotte,0
127,Americas,Mexico,14677
128,Europe,Moldova,3408
129,Europe,Monaco,94
130,Asia,Mongolia,38
131,Europe,Montenegro,321
132,Americas,Montserrat,0
133,Africa,Morocco,4065
134,Africa,Mozambique,76
135,Asia,Myanmar,146
136,Africa,Namibia,16
137,Oceania,Nauru,0
138,Asia,Nepal,52
139,Europe,Netherlands,38040
140,Oceania,New Caledonia,0
141,Americas,Nicaragua,13
142,Africa,Niger,696
143,Africa,Nigeria,1273
144,Oceania,Niue,0
145,Oceania,Norfolk Island,0
146,Oceania,Northern Mariana Islands,0
147,Europe,Norway,7527
148,Asia,Oman,1998
149,Asia,Pakistan,13328
150,Oceania,Palau,0
151,Americas,Panama,5779
152,Oceania,Papua New Guinea,8
153,Americas,Paraguay,228
154,Americas,Peru,27517
155,Asia,Philippines,7579
156,Europe,Poland,11617
157,Europe,Portugal,23864
158,Americas,Puerto Rico,0
159,Asia,Qatar,10287
160,Europe,Republic of Kosovo,510
161,Africa,Réunion,0
162,Europe,Romania,11036
163,Africa,Rwanda,191
164,Africa,Saint Helena,0
165,Americas,Saint Kitts and Nevis,15
166,Americas,Saint Lucia,15
167,Americas,Saint Pierre and Miquelon,0
168,Oceania,Samoa,0
169,Europe,San Marino,538
170,Asia,Saudi Arabia,17522
171,Africa,Senegal,671
172,Europe,Serbia,6630
173,Africa,Seychelles,11
174,Africa,Sierra Leone,93
175,Asia,Singapore,13624
176,Europe,Slovakia,1379
177,Europe,Slovenia,1396
178,Oceania,Solomon Islands,0
179,Africa,Somalia,436
180,Africa,South Africa,4546
181,Africa,South Sudan,6
182,Europe,Spain,226629
183,Asia,Sri Lanka,523
184,Africa,Sudan,237
185,Americas,Suriname,10
186,Africa,Swaziland,59
187,Europe,Sweden,18640
188,Europe,Switzerland,29061
189,Asia,Tajikistan,0
190,Asia,Thailand,2922
191,Asia,Timor-Leste,24
192,Africa,Togo,98
193,Oceania,Tokelau,0
194,Oceania,Tonga,0
195,Americas,Trinidad and Tobago,115
196,Africa,Tunisia,949
197,Asia,Turkey,110130
198,Asia,Turkmenistan,0
199,Americas,Turks and Caicos Islands,0
200,Oceania,Tuvalu,0
201,Africa,Uganda,79
202,Europe,Ukraine,8617
203,Asia,United Arab Emirates,10349
204,Europe,United Kingdom,154037
205,Americas,Uruguay,606
206,Asia,Uzbekistan,1869
207,Oceania,Vanuatu,0
208,Africa,Western Sahara,6
209,Asia,Yemen,1
210,Africa,Zambia,88
211,Africa,Zimbabwe,31
212,,ALA Aland Islands,0
213,,Brunei Darussalam,138
214,,Congo (Brazzaville),200
215,,Congo (Kinshasa),442
216,,Falkland Islands (Malvinas),0
217,,French Southern Territories,0
218,,Heard and Mcdonald Islands,0
219,,Holy See (Vatican City State),9
220,,"Hong Kong, SAR China",0
221,,"Iran, Islamic Republic of",90481
222,,Korea (North),0
223,,Korea (South),10738
224,,Lao PDR,19
225,,"Macao, SAR China",0
226,,"Macedonia, Republic of",1386
227,,"Micronesia, Federated States of",0
228,,Netherlands Antilles,0
229,,Pitcairn,0
230,,Russian Federation,80949
231,,Saint Vincent and Grenadines,14
232,,Saint-Barthélemy,0
233,,Saint-Martin (French part),0
234,,Sao Tome and Principe,4
235,,South Georgia and the South Sandwich Islands,0
236,,Svalbard and Jan Mayen Islands,0
237,,Syrian Arab Republic (Syria),43
238,,"Taiwan, Republic of China",429
239,,"Tanzania, United Republic of",299
240,,US Minor Outlying Islands,0
241,,United States of America,964673
242,,Venezuela (Bolivarian Republic),325
243,,Viet Nam,270
244,,"Virgin Islands, US",0
245,,Wallis and Futuna Islands,0
